Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2016-01-04,37.68724060058594,37.82420619597555,37.09670141144147,37.82420619597555,67382000
2016-01-05,37.79096603393555,38.17158933715828,37.49917199841078,37.91850429630336,45216000
2016-01-06,37.681785583496094,37.99938557560447,37.11953599204981,37.23714710898058,48206000
2016-01-07,36.77215576171875,37.4822899992494,36.48830121505529,37.04459903227423,63132000
2016-01-08,36.27143859863281,37.224734407284416,36.17268222773151,37.10960319724233,47506000
2016-01-11,36.37862777709961,36.47837610682403,35.708194514709064,36.32304797445957,50896000
2016-01-12,36.98753356933594,37.13641023577878,36.54537494336249,36.759754768498375,46816000
2016-01-13,35.70869445800781,37.36766088488102,35.570240913835114,37.186030764434825,51728000
2016-01-14,36.295265197753906,36.71707736447285,34.985660161842596,35.95037125256661,55558000
2016-01-15,35.25809860229492,35.93647133507565,34.8124644135605,35.23328456634881,76676000
2016-01-19,35.68437957763672,35.99553188244211,35.22634209198821,35.73747950188986,48724000
2016-01-20,35.65857696533203,36.07492958595087,34.13111648772049,35.03032062799834,82440000
2016-01-21,36.061031341552734,36.606906079066235,35.288865762887305,35.738467791993244,51938000
2016-01-22,36.99348831176758,37.147328540145075,36.74735076132707,36.82178530689106,47146000
2016-01-25,36.40592575073242,37.340862943566755,36.3503459419092,36.9130952923349,45340000
2016-01-26,36.41436004638672,36.69573471299149,36.07591763913051,36.48483054706643,30940000
2016-01-27,35.60994338989258,36.51857486468166,35.40499094304119,36.51857486468166,42428000
2016-01-28,37.13441848754883,37.27634386114489,36.25605315586396,36.63270854365755,62104000
2016-01-29,37.78203201293945,37.96862192407068,36.93096045614953,37.16717844501767,75808000
2016-02-01,38.24950408935547,38.587946559381024,37.78352335434484,38.27381836643598,111522000
2016-02-02,38.7526969909668,40.213658489846225,38.737310318741926,39.72485147600155,135846000
2016-02-03,37.18802261352539,39.27475313841228,36.53693991263758,39.01918442769843,131114000
2016-02-04,36.22777557373047,36.982574455595035,35.85906331852879,36.95031696053088,104922000
2016-02-05,34.92412567138672,36.06351566279018,34.7444832288079,36.00297606877494,109556000
2016-02-08,34.943973541259766,34.96184010303973,33.84477677313804,34.12615145810582,89410000
2016-02-09,34.788150787353516,35.77767590682536,34.16684571478804,34.38767703291656,84300000
2016-02-10,35.07746124267578,35.8898237302454,35.00501061670168,35.322610596345456,60314000
2016-02-11,35.05315017700195,35.34891580034356,34.300339036527134,34.55590773437024,65004000
