Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2016-01-04,48.648834228515625,48.98529164145047,48.18237998345883,48.901179475979,25393200
2016-01-05,48.732948303222656,49.03881787674279,48.20532131991445,48.71000888738811,16566700
2016-01-06,48.029449462890625,48.27414630789397,47.67004969559724,47.96062829291991,22961500
2016-01-07,46.0871696472168,47.410062990290974,45.94188179463064,46.99713593513023,27630900
2016-01-08,45.05485534667969,46.85185155301838,45.00132808560318,46.74479703086535,22373300
2016-01-11,44.98603820800781,45.28426236061294,44.38194148415705,44.98603820800781,20925500
2016-01-12,45.085445404052734,45.54425427201201,44.42782140188974,45.46013916703529,22971600
2016-01-13,43.84666442871094,45.636012199562366,43.517852446933595,45.46778199948551,28808100
2016-01-14,44.50429153442383,45.40661244342444,43.808434180908144,44.473703692792625,31296300
2016-01-15,43.61725997924805,44.02253862886642,42.99022387654848,43.16609957198696,38131700
2016-01-19,43.59431838989258,44.328411939687086,43.21197915402711,44.14488782298424,22818900
2016-01-20,42.447296142578125,42.95963218069252,41.797320677928155,42.53905964962392,34646100
2016-01-21,42.248477935791016,43.219619769605906,42.1031901025178,42.62317160278115,31301100
2016-01-22,43.548439025878906,43.7090208029313,43.051396858411785,43.158451376446706,22732200
2016-01-25,42.5620002746582,43.471966534372186,42.51611851983439,43.18903633883366,21114400
2016-01-26,43.6478385925293,43.70136583995751,42.676696805306214,42.70728172025362,17535700
2016-01-27,43.61725997924805,44.5578141332974,43.25021466915685,43.64784781767652,20560000
2016-01-28,43.8007698059082,44.32839967227743,43.303730687043476,43.984293871822736,15497900
2016-01-29,45.49836349487305,45.528951330079614,43.97665223903624,44.221352003672266,26992200
2016-02-01,45.00896453857422,45.61306108671727,44.68779814047916,45.23836744177573,16807900
2016-02-02,43.6096076965332,44.336052751240736,43.39549868054147,44.259586078962705,22448200
2016-02-03,43.90018081665039,44.19840488509587,42.0726001575994,43.86959298475439,31543200
2016-02-04,44.657203674316406,44.74896423256748,43.63253486996346,43.63253486996346,21651300
2016-02-05,44.16018295288086,45.223085590998046,43.90783765012483,44.794867501982175,22001300
2016-02-08,43.23491287231445,43.52548853339006,42.47023455303199,43.34961286999705,28267600
2016-02-09,42.97491455078125,43.34960522764414,42.15670912675649,42.279057519591525,26300000
2016-02-10,42.45494842529297,43.90019024715501,42.416715085717904,43.257860224436676,22389600
2016-02-11,40.581485748291016,41.223815773104114,40.14561925827679,41.2161702719709,44334700
2016-02-12,43.961360931396484,44.02253368436583,42.18730442302137,42.55435260890346,37011400
2016-02-16,44.61897277832031,44.81014233249823,44.07605194453883,44.52721220907936,23730700
2016-02-17,44.940155029296875,45.307200353000674,44.64957638748335,45.00132779140571,21580100
2016-02-18,44.20606231689453,45.00897410730378,43.77784133406843,44.99368018823676,17037800
2016-02-19,44.21370315551758,44.48133941842575,43.647842794792744,43.969006310282545,15658200
