Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2016-01-04,70.57758331298828,71.21156984041463,69.93427857991699,70.91322365769247,13476800
2016-01-05,71.1090087890625,71.33277374873197,70.4284099311855,71.09036526565689,8972700
2016-01-06,70.17666625976562,70.71742083321129,69.7850883051185,69.92493960695896,16092000
2016-01-07,68.79682159423828,70.00884967441186,68.38659298484839,68.7688527550768,12470800
2016-01-08,67.94840240478516,69.46810920875205,67.82720171845628,69.04855523952052,9977600
2016-01-11,68.91802215576172,69.06719878189007,67.74328823409967,68.16283504710282,13069500
2016-01-12,69.701171875,69.92492965822947,69.01124078091733,69.47740697863885,10236900
2016-01-13,68.15350341796875,70.28854566805576,68.05094627528662,70.17666320882097,12659600
2016-01-14,68.80615997314453,69.47743357984714,67.74330120444738,68.20014226145086,10426200
2016-01-15,66.96944427490234,68.01365210835145,65.8786169718318,67.07200141756358,18470500
2016-01-19,66.5592269897461,68.07892664110427,65.87862814192115,68.00434543544966,16009600
2016-01-20,65.89726257324219,66.57786844029789,64.3682378147108,65.2259820230318,16586000
2016-01-21,66.71772003173828,67.43562013271615,65.35651525969112,65.93456404499884,11931200
2016-01-22,67.78060150146484,68.22812443986116,67.24917201325809,67.75263265152803,8652600
2016-01-25,66.88555908203125,67.9763939618954,66.73638951947619,67.83654260671943,9126200
2016-01-26,67.01608276367188,67.37969200648133,66.70841832884975,67.29578546420306,7500200
2016-01-27,66.1117172241211,67.57547932404661,65.80404571641552,67.10931295957181,9020500
2016-01-28,64.63861846923828,66.98809340437334,64.63861846923828,66.587190116708,15295600
2016-01-29,69.44947052001953,69.458795839998,64.10720738709071,65.66420150615035,40427800
2016-02-01,69.34687805175781,69.71981241664,68.29334505061219,69.06718261294472,12623500
2016-02-02,68.4332275390625,69.18841481537049,68.18149370487009,68.52645939452336,9572700
2016-02-03,69.34687805175781,69.57996114066775,67.52883280351284,68.76883654366524,9941900
2016-02-04,68.69425201416016,69.57996495532375,67.8365079070981,69.0858299178452,14735700
2016-02-05,66.6990966796875,68.62902550279487,65.77608909814977,68.58240601242875,12939400
2016-02-08,63.184173583984375,65.30057244914843,61.81365071484846,65.21665882108462,30542600
2016-02-09,63.70629119873047,64.77847516072957,61.64583691142565,61.89756359523866,14882800
2016-02-10,65.40316009521484,66.22361055846127,64.39623876772868,64.46150179192854,11369500
2016-02-11,63.83683776855469,64.39623611193119,62.867210653905346,63.20285108255842,13962100
2016-02-12,65.65486145019531,65.70148092648911,64.44283331102406,64.74117946515751,8710200
2016-02-16,66.28884887695312,66.8948665118826,65.63621887818816,66.57787683052061,8780700
2016-02-17,67.28842163085938,67.37250083399375,66.60647992412854,67.00817425047055,8494100
2016-02-18,66.55039978027344,67.49391533278094,66.34488083545344,67.15761290074194,6938100
2016-02-19,66.82132720947266,66.99882218395155,65.67229955144438,66.35424117319543,7750900
2016-02-22,68.25060272216797,68.37204964121094,67.35379847473502,67.52194971657661,7481500
2016-02-23,67.40052032470703,68.30666842738644,67.25104936348797,68.14785374929926,6177000
2016-02-24,67.12025451660156,67.43787669204328,65.74702058245128,66.55975276089052,7728600
2016-02-25,68.44677734375,68.51216909679053,67.20433403597995,67.22301433949158,6840900
2016-02-26,67.94235229492188,69.04467585798996,67.9049845488826,68.88586115553079,6714100
2016-02-29,67.62472534179688,69.03532736678756,67.62472534179688,68.06378741844199,7786100
2016-03-01,69.72660827636719,69.72660827636719,68.1011507409857,68.1852228129273,8705300
2016-03-02,69.40898895263672,69.68923630258837,68.81111938680563,69.59582051927116,5739100
2016-03-03,69.04463958740234,69.59579751581724,68.53084225823163,69.57711721619515,6588300
2016-03-04,69.03531646728516,69.36227526194168,68.76440571537913,69.33425124056643,9475300
2016-03-07,67.2043685913086,68.61496386465329,66.65320313756732,68.5589157981329,16671900
2016-03-08,65.97123718261719,66.81198638254202,65.8684776800188,66.79330607623669,12394400
2016-03-09,66.02729034423828,66.40096064380407,65.29863718002748,66.32622515845728,9291600
2016-03-10,65.59756469726562,66.6998880384213,64.99969513533381,66.4570013016467,10135100
2016-03-11,66.91474914550781,67.26973912711433,66.02728844582741,66.46635050065572,9466400
2016-03-14,66.7839584350586,66.99882114436582,66.27950466844646,66.8867179316185,7916500
2016-03-15,67.17632293701172,67.17632293701172,66.00860774587052,66.49437412943138,6442800
2016-03-16,67.60603332519531,68.03575160976297,66.80264479795277,66.9614523347603,7561800
2016-03-17,68.32534790039062,68.82045798084499,67.41919980876617,67.52195931155869,7411700
2016-03-18,68.92321014404297,69.22214490383301,68.31599690870375,68.66164312012253,15026200
2016-03-21,68.91386413574219,69.07267878969651,68.33468206694785,68.73637630522455,7397400
2016-03-22,68.15719604492188,68.80177707919451,68.1291720220696,68.41876309443322,6796800
2016-03-23,69.04463958740234,69.2875191183148,67.97967720265167,68.14782840791072,7287100
2016-03-24,69.25952911376953,69.27821654973276,68.57758737165133,68.8017867130302,6303900
2016-03-28,69.20347595214844,69.38096381768699,68.86717340131914,69.25952400156397,7283300
2016-03-29,70.41788482666016,70.61406009706226,69.0539945225548,69.14741029981766,10541500
2016-03-30,71.7257308959961,71.93124989318052,70.84760686335983,70.90366203442571,9691900
2016-03-31,71.44548034667969,71.85651119545612,70.95036318149009,71.5762638613586,7490800
2016-04-01,72.48240661621094,73.0989635960163,70.81024490298236,71.23061947854625,10183400
2016-04-04,72.70659637451172,73.15499486869945,72.42634197027022,72.83737986258026,6905800
2016-04-05,71.90323638916016,72.37032249575242,71.53890979619166,72.06204395488112,6012000
2016-04-06,73.06157684326172,73.1269685852675,71.93122980163866,72.0059652574068,6220400
2016-04-07,72.47306823730469,72.84673847700354,72.10874171356923,72.59450803616083,7542100
2016-04-08,72.89344787597656,73.44461312150686,72.68792887347942,72.94015933187774,5327500
2016-04-11,72.6972427368164,73.59404672993787,72.65053130009738,73.20169631929059,5957200
2016-04-12,73.35120391845703,73.37923507353705,72.53847860035785,72.6038703745402,5962900
2016-04-13,74.46287536621094,74.66839441859821,73.71554178054815,73.82763789845448,9187300
2016-04-14,75.04203796386719,75.35965302068274,74.08917853908713,74.50956021254893,11470300
2016-04-15,74.80851745605469,75.37836311370043,74.6403661615499,74.96732503220676,7186700
2016-04-18,76.08833312988281,76.18175606425264,74.57497852259321,74.92061772195233,7761200
2016-04-19,75.43437194824219,76.34986343725092,75.07938923426521,76.13500078986672,8324700
2016-04-20,75.80806732177734,76.2658096550578,75.2475654873488,75.55583686362561,8521300
